"RAISON_SOCIALE";"SIRET";"SIREN";"NUM_TVA";"ADRESSE";"CODE_POSTAL";"VILLE";"PAYS";"TELEPHONE";"EMAIL_CONTACT";"SITE_WEB";"SECTEUR_ACTIVITE";"CHIFFRE_AFFAIRES";"DATE_CREATION";"ACTIF"
"Fleury & Associés SAS";"89623379046048";"896233790";"FR92896233790";"58 Rue de Rivoli";"35000";"Rennes";"France";"+33 1 96 79 21 85";"contact@fleury.fr";"https://www.fleury.fr";"Conseil";"1685955.71";"2004-03-15";"True"
"Colin & Associés SCI";"70263229736062";"702632297";"FR88702632297";"140 Rue du Commerce";"17000";"La Rochelle";"France";"+33 2 67 85 45 10";"contact@colin.fr";"https://www.colin.fr";"Énergie";"34937155.81";"2015-04-06";"True"
"Bonnet Services GIE";"20974745122156";"209747451";"FR67209747451";"25 Rue Nationale";"69100";"Villeurbanne";"France";"+33 3 87 43 15 68";"contact@bonnet.fr";"https://www.bonnet.fr";"Médias";"6328825.53";"2016-12-23";"True"
"Henry Partners GIE";"48830265285674";"488302652";"FR00488302652";"18 Avenue des Champs-Élysées";"67000";"Strasbourg";"France";"+33 2 47 20 39 22";"contact@henry.fr";"https://www.henry.fr";"Luxe";"13970882.8";"2016-05-13";"True"
"Dumont Solutions SARL";"85357382399593";"853573823";"FR51853573823";"19 Rue de la Gare";"93200";"Saint-Denis";"France";"+33 2 78 41 30 69";"contact@dumont.fr";"https://www.dumont.fr";"Luxe";"13570396.56";"2009-11-07";"True"
"Hamon & Associés GIE";"34593849414207";"345938494";"FR78345938494";"103 Place de la Bastille";"38000";"Grenoble";"France";"+33 1 37 82 50 37";"contact@hamon.fr";"https://www.hamon.fr";"Éducation";"19842031.86";"2020-07-31";"True"
"Roux Consulting SARL";"67872245844438";"678722458";"FR34678722458";"150 Rue du Commerce";"06600";"Antibes";"France";"+33 5 61 56 38 27";"contact@roux.fr";"https://www.roux.fr";"Tourisme";"24726440.16";"2002-02-10";"True"
"Fournier Conseil EURL";"95048873999192";"950488739";"FR06950488739";"17 Boulevard Voltaire";"29200";"Brest";"France";"+33 4 86 69 77 42";"contact@fournier.fr";"https://www.fournier.fr";"Médias";"43052907.14";"2000-07-07";"True"
"Garcia Consulting EURL";"90624890044973";"906248900";"FR60906248900";"88 Rue du Faubourg Saint-Honoré";"64100";"Bayonne";"France";"+33 3 65 30 68 10";"contact@garcia.fr";"https://www.garcia.fr";"Immobilier";"48597216.13";"2008-01-06";"True"
"Michel Solutions GIE";"78606679376540";"786066793";"FR23786066793";"51 Rue de Rivoli";"54000";"Nancy";"France";"+33 3 30 79 77 10";"contact@michel.fr";"https://www.michel.fr";"Agroalimentaire";"24481424.83";"2005-01-06";"False"
"Nicolas & Associés SARL";"35863389884364";"358633898";"FR16358633898";"22 Place du Marché";"13008";"Marseille";"France";"+33 4 18 78 26 26";"contact@nicolas.fr";"https://www.nicolas.fr";"Éducation";"47347749.12";"2007-05-29";"True"
"Perrot Industries SASU";"67906476636365";"679064766";"FR19679064766";"80 Boulevard Voltaire";"17000";"La Rochelle";"France";"+33 3 66 76 67 25";"contact@perrot.fr";"https://www.perrot.fr";"Distribution";"11312397.12";"2015-03-02";"True"
"Pons Partners SARL";"33645662110942";"336456621";"FR00336456621";"16 Rue de la République";"13001";"Marseille";"France";"+33 1 14 52 19 75";"contact@pons.fr";"https://www.pons.fr";"Distribution";"13996015.47";"2021-10-10";"True"
"Bertrand Partners EURL";"71870254471953";"718702544";"FR83718702544";"122 Avenue de Verdun";"35000";"Rennes";"France";"+33 4 34 22 22 94";"contact@bertrand.fr";"https://www.bertrand.fr";"Conseil";"17779448.57";"2018-06-10";"True"
"Noel Technologies SAS";"16508236362772";"165082363";"FR21165082363";"87 Avenue de Verdun";"06400";"Cannes";"France";"+33 1 41 34 34 78";"contact@noel.fr";"https://www.noel.fr";"BTP";"7095096.63";"2008-03-25";"True"
"Garnier Technologies GIE";"57580801382132";"575808013";"FR36575808013";"13 Impasse des Lilas";"69001";"Lyon";"France";"+33 5 11 21 40 31";"contact@garnier.fr";"https://www.garnier.fr";"Conseil";"24333492.16";"2009-08-03";"True"
"Durand Group SARL";"10231431361173";"102314313";"FR31102314313";"117 Rue Lafayette";"51100";"Reims";"France";"+33 4 99 81 94 72";"contact@durand.fr";"https://www.durand.fr";"Industrie";"9575903.58";"2009-10-06";"False"
"Rey Consulting EURL";"16545269051104";"165452690";"FR61165452690";"13 Avenue Foch";"75020";"Paris";"France";"+33 4 74 77 30 17";"contact@rey.fr";"https://www.rey.fr";"Tourisme";"4097562.12";"2008-05-02";"True"
"Leroy Industries EURL";"53355069925713";"533550699";"FR13533550699";"64 Avenue Foch";"68100";"Mulhouse";"France";"+33 5 15 89 20 63";"contact@leroy.fr";"https://www.leroy.fr";"Tourisme";"15886855.31";"2011-09-12";"True"
"Navarro Industries SA";"38520141261876";"385201412";"FR83385201412";"77 Avenue de la Liberté";"31000";"Toulouse";"France";"+33 3 19 11 68 89";"contact@navarro.fr";"https://www.navarro.fr";"Santé";"3755709.98";"2009-07-24";"True"
"Bertrand Technologies SA";"36229839358434";"362298393";"FR06362298393";"41 Avenue de la Liberté";"76600";"Le Havre";"France";"+33 5 48 88 93 77";"contact@bertrand.fr";"https://www.bertrand.fr";"Technologie";"33426373.87";"2013-06-06";"False"
"Michel Solutions SARL";"22394058724029";"223940587";"FR64223940587";"142 Rue de Rivoli";"06600";"Antibes";"France";"+33 3 46 87 36 53";"contact@michel.fr";"https://www.michel.fr";"Télécommunications";"34406106.73";"2011-11-04";"True"
"Faure & Associés GIE";"19910472293136";"199104722";"FR12199104722";"71 Avenue des Champs-Élysées";"29200";"Brest";"France";"+33 1 52 26 91 43";"contact@faure.fr";"https://www.faure.fr";"Énergie";"37087422.33";"2019-03-09";"True"
"Garcia Conseil SAS";"68582311814722";"685823118";"FR38685823118";"150 Rue des Écoles";"30000";"Nîmes";"France";"+33 2 65 26 15 49";"contact@garcia.fr";"https://www.garcia.fr";"Automobile";"44959176.29";"2001-10-15";"True"
"Lambert Industries EURL";"81611430223473";"816114302";"FR62816114302";"144 Rue Jean Moulin";"49000";"Angers";"France";"+33 4 89 29 40 30";"contact@lambert.fr";"https://www.lambert.fr";"Énergie";"44082668.61";"2001-02-10";"True"
"Mathieu Group GIE";"96139341697806";"961393416";"FR11961393416";"64 Place de la Bastille";"06600";"Antibes";"France";"+33 2 99 23 58 14";"contact@mathieu.fr";"https://www.mathieu.fr";"Éducation";"11199442.51";"2020-08-24";"True"
"Martinez & Associés SARL";"80870523835313";"808705238";"FR32808705238";"85 Place de la Bastille";"63000";"Clermont-Ferrand";"France";"+33 1 45 54 92 75";"contact@martinez.fr";"https://www.martinez.fr";"Luxe";"34007954.11";"2024-01-20";"True"
"Thomas Solutions SAS";"29173573486099";"291735734";"FR76291735734";"10 Rue du Faubourg Saint-Honoré";"51100";"Reims";"France";"+33 5 65 54 50 65";"contact@thomas.fr";"https://www.thomas.fr";"Tourisme";"5870724.62";"2008-07-11";"True"
"Delmas & Associés SASU";"65826022180575";"658260221";"FR64658260221";"51 Rue Nationale";"86000";"Poitiers";"France";"+33 4 18 95 52 89";"contact@delmas.fr";"https://www.delmas.fr";"Agroalimentaire";"33203035.07";"2005-08-03";"True"
"Roussel Solutions SCI";"81607080263528";"816070802";"FR27816070802";"104 Chemin du Moulin";"38000";"Grenoble";"France";"+33 3 80 26 34 63";"contact@roussel.fr";"https://www.roussel.fr";"Luxe";"33898165.47";"2007-10-22";"True"
"Roussel Consulting SASU";"99520558810053";"995205588";"FR38995205588";"74 Avenue Victor Hugo";"83000";"Toulon";"France";"+33 4 84 87 93 51";"contact@roussel.fr";"https://www.roussel.fr";"BTP";"22145122.24";"2009-08-02";"True"
"Pichon Technologies SARL";"40471333277561";"404713332";"FR29404713332";"86 Boulevard Haussmann";"84000";"Avignon";"France";"+33 2 96 49 38 35";"contact@pichon.fr";"https://www.pichon.fr";"Industrie";"1318826.85";"2010-12-25";"False"
"Philippe Technologies GIE";"58899938564321";"588999385";"FR92588999385";"148 Avenue Victor Hugo";"93100";"Montreuil";"France";"+33 4 73 61 41 28";"contact@philippe.fr";"https://www.philippe.fr";"Technologie";"44643725.33";"2004-10-12";"True"
"François Consulting SARL";"59880664516582";"598806645";"FR26598806645";"64 Rue Pierre Curie";"76000";"Rouen";"France";"+33 1 68 27 69 95";"contact@françois.fr";"https://www.françois.fr";"Tourisme";"49395833.41";"2014-03-26";"False"
"Renard Consulting SCI";"55820939981810";"558209399";"FR33558209399";"41 Place du Marché";"37000";"Tours";"France";"+33 4 67 43 41 91";"contact@renard.fr";"https://www.renard.fr";"Immobilier";"38314102.85";"2023-05-20";"True"
"Legrand Digital SA";"18319711747450";"183197117";"FR33183197117";"70 Avenue Jean Jaurès";"35000";"Rennes";"France";"+33 3 79 20 27 29";"contact@legrand.fr";"https://www.legrand.fr";"Distribution";"19213461.09";"2006-11-08";"True"
"Leroy Group SASU";"45528118481121";"455281184";"FR47455281184";"107 Avenue des Champs-Élysées";"80000";"Amiens";"France";"+33 2 63 59 84 99";"contact@leroy.fr";"https://www.leroy.fr";"Technologie";"42850928.41";"2017-01-23";"True"
"Dumont Group SA";"99735682864921";"997356828";"FR57997356828";"140 Avenue de Verdun";"45000";"Orléans";"France";"+33 5 38 72 38 44";"contact@dumont.fr";"https://www.dumont.fr";"Conseil";"24333535.49";"2017-06-11";"True"
"Carlier Group GIE";"87758383931632";"877583839";"FR33877583839";"33 Rue de la Gare";"80000";"Amiens";"France";"+33 5 13 60 85 82";"contact@carlier.fr";"https://www.carlier.fr";"Technologie";"4288978.36";"2019-03-24";"True"
"Schmitt & Associés SARL";"37934071359689";"379340713";"FR12379340713";"55 Avenue de la Liberté";"38000";"Grenoble";"France";"+33 3 53 58 45 63";"contact@schmitt.fr";"https://www.schmitt.fr";"Immobilier";"41762054.65";"2021-02-04";"True"
"Collet Services SAS";"34075671395215";"340756713";"FR52340756713";"11 Rue Victor Hugo";"13001";"Marseille";"France";"+33 1 41 35 12 89";"contact@collet.fr";"https://www.collet.fr";"Industrie";"12003392.6";"2021-03-29";"True"
"Lemaître Digital SARL";"85104479643586";"851044796";"FR19851044796";"95 Boulevard Saint-Germain";"64100";"Bayonne";"France";"+33 5 87 24 30 49";"contact@lemaître.fr";"https://www.lemaître.fr";"Santé";"28976368.15";"2013-12-29";"True"
"Chevalier Industries SASU";"18160059387607";"181600593";"FR30181600593";"63 Rue du Faubourg Saint-Honoré";"78000";"Versailles";"France";"+33 3 97 86 25 82";"contact@chevalier.fr";"https://www.chevalier.fr";"Banque & Finance";"17425467.89";"2019-03-20";"True"
"Leroy Services SCI";"11358513965057";"113585139";"FR55113585139";"28 Rue du Commerce";"57000";"Metz";"France";"+33 3 91 68 29 65";"contact@leroy.fr";"https://www.leroy.fr";"Énergie";"36716385.67";"2012-02-12";"True"
"Aubert Digital GIE";"59915441467091";"599154414";"FR01599154414";"69 Avenue Jean Jaurès";"06400";"Cannes";"France";"+33 2 21 45 67 41";"contact@aubert.fr";"https://www.aubert.fr";"BTP";"28535497.27";"2016-12-31";"True"
"Giraud Services GIE";"29524905773904";"295249057";"FR25295249057";"91 Avenue de Verdun";"33000";"Bordeaux";"France";"+33 3 53 45 86 99";"contact@giraud.fr";"https://www.giraud.fr";"Immobilier";"27833972.29";"2023-03-05";"False"
"Simon Group SARL";"62460647082768";"624606470";"FR00624606470";"62 Chemin du Moulin";"64000";"Pau";"France";"+33 4 92 72 67 12";"contact@simon.fr";"https://www.simon.fr";"Assurance";"14782355.51";"2018-02-20";"True"
"Nicolas Partners EURL";"49623269372031";"496232693";"FR00496232693";"136 Rue Nationale";"76000";"Rouen";"France";"+33 4 80 52 55 99";"contact@nicolas.fr";"https://www.nicolas.fr";"BTP";"13618729.71";"2011-04-11";"True"
"Berger Services SARL";"22837092780236";"228370927";"FR47228370927";"48 Avenue Victor Hugo";"64000";"Pau";"France";"+33 2 71 45 85 77";"contact@berger.fr";"https://www.berger.fr";"Transport";"49027480.46";"2008-09-15";"True"
"Lopez Solutions SARL";"11519168980010";"115191689";"FR66115191689";"71 Avenue des Champs-Élysées";"31000";"Toulouse";"France";"+33 1 80 47 99 26";"contact@lopez.fr";"https://www.lopez.fr";"Éducation";"5219123.57";"2000-07-19";"True"
"Marchand Digital SASU";"46583021534164";"465830215";"FR17465830215";"65 Boulevard de la Marne";"75020";"Paris";"France";"+33 4 24 18 61 72";"contact@marchand.fr";"https://www.marchand.fr";"Assurance";"28893355.71";"2002-05-28";"True"
"Lemaître Technologies SA";"36649300825525";"366493008";"FR41366493008";"107 Rue de la Gare";"76000";"Rouen";"France";"+33 5 89 38 76 58";"contact@lemaître.fr";"https://www.lemaître.fr";"BTP";"45434368.44";"2013-05-03";"True"
"Picard Partners SA";"76682301017894";"766823010";"FR67766823010";"26 Rue Victor Hugo";"95100";"Argenteuil";"France";"+33 2 90 37 43 94";"contact@picard.fr";"https://www.picard.fr";"Assurance";"7937148.96";"2007-10-18";"True"
"Morel Group SAS";"58372466687832";"583724666";"FR30583724666";"75 Avenue des Champs-Élysées";"87000";"Limoges";"France";"+33 2 46 46 99 68";"contact@morel.fr";"https://www.morel.fr";"Assurance";"34400507.51";"2011-11-13";"True"
"Dufour Industries SCI";"55648949425043";"556489494";"FR39556489494";"58 Impasse des Lilas";"45000";"Orléans";"France";"+33 2 44 28 19 17";"contact@dufour.fr";"https://www.dufour.fr";"Énergie";"39652165.45";"2012-12-11";"True"
"Schmitt Solutions EURL";"85133332062757";"851333320";"FR60851333320";"129 Rue des Écoles";"42000";"Saint-Étienne";"France";"+33 4 66 20 86 15";"contact@schmitt.fr";"https://www.schmitt.fr";"Conseil";"36753242.77";"2011-03-26";"True"
"Martinez Partners EURL";"73041844712719";"730418447";"FR36730418447";"69 Avenue Foch";"64000";"Pau";"France";"+33 1 32 70 76 93";"contact@martinez.fr";"https://www.martinez.fr";"BTP";"45812032.12";"2008-02-21";"False"
"Lemaire Digital EURL";"19797078771605";"197970787";"FR94197970787";"105 Avenue Jean Jaurès";"49000";"Angers";"France";"+33 3 95 23 30 52";"contact@lemaire.fr";"https://www.lemaire.fr";"Conseil";"34714316.33";"2012-12-05";"True"
"Sanchez Consulting GIE";"13940324769614";"139403247";"FR73139403247";"81 Place de la Bastille";"13008";"Marseille";"France";"+33 3 24 61 75 10";"contact@sanchez.fr";"https://www.sanchez.fr";"Médias";"23152619.61";"2002-06-07";"True"
"Lopez Digital SCI";"77152752467939";"771527524";"FR12771527524";"14 Avenue Victor Hugo";"64000";"Pau";"France";"+33 3 80 26 46 66";"contact@lopez.fr";"https://www.lopez.fr";"Éducation";"6159161.56";"2010-09-25";"True"
"Nicolas & Associés SCI";"69297543763476";"692975437";"FR13692975437";"58 Rue Émile Zola";"13008";"Marseille";"France";"+33 1 69 25 92 29";"contact@nicolas.fr";"https://www.nicolas.fr";"Éducation";"46639387.69";"2013-02-02";"True"
"Blanc Digital SASU";"60704213041946";"607042130";"FR96607042130";"142 Rue de Rivoli";"80000";"Amiens";"France";"+33 4 34 86 75 27";"contact@blanc.fr";"https://www.blanc.fr";"Assurance";"13884745.4";"2018-08-12";"True"
